m,r,rho,T,P,L,epsilon,kappa,nabla_ad,nabla,nature
9.945e+27,5.175e+08,1.713e+01,2.604e+07,6.122e+16,1.030e+32,1.035e+04,3.683e-01,4.000e-01,4.000e-01,Convective
4.998e+31,8.918e+09,1.661e+01,2.549e+07,5.805e+16,4.147e+35,7.079e+03,3.701e-01,4.000e-01,4.000e-01,Convective
9.996e+31,1.128e+10,1.629e+01,2.517e+07,5.622e+16,7.295e+35,5.625e+03,3.715e-01,4.000e-01,4.000e-01,Convective
1.499e+32,1.295e+10,1.603e+01,2.489e+07,5.470e+16,9.841e+35,4.623e+03,3.728e-01,4.000e-01,4.000e-01,Convective
1.999e+32,1.430e+10,1.580e+01,2.465e+07,5.337e+16,1.196e+36,3.867e+03,3.740e-01,4.000e-01,4.000e-01,Convective
2.499e+32,1.544e+10,1.559e+01,2.442e+07,5.215e+16,1.373e+36,3.274e+03,3.751e-01,4.000e-01,4.000e-01,Convective
2.999e+32,1.645e+10,1.539e+01,2.421e+07,5.103e+16,1.524e+36,2.798e+03,3.762e-01,4.000e-01,4.000e-01,Convective
3.498e+32,1.736e+10,1.520e+01,2.401e+07,4.998e+16,1.654e+36,2.406e+03,3.772e-01,4.000e-01,4.000e-01,Convective
3.998e+32,1.819e+10,1.502e+01,2.382e+07,4.898e+16,1.766e+36,2.079e+03,3.782e-01,4.000e-01,4.000e-01,Convective
4.498e+32,1.897e+10,1.485e+01,2.363e+07,4.803e+16,1.863e+36,1.804e+03,3.792e-01,4.000e-01,4.000e-01,Convective
4.998e+32,1.969e+10,1.469e+01,2.345e+07,4.713e+16,1.947e+36,1.572e+03,3.802e-01,4.000e-01,4.000e-01,Convective
5.497e+32,2.036e+10,1.453e+01,2.328e+07,4.627e+16,2.020e+36,1.374e+03,3.811e-01,4.000e-01,4.000e-01,Convective
5.997e+32,2.100e+10,1.437e+01,2.311e+07,4.544e+16,2.084e+36,1.205e+03,3.821e-01,4.000e-01,4.000e-01,Convective
